atomic_number,mass,vdw_volume,sanderson_en,pauling_en,allred_rocow_en,polarizability,ionization_potential,mcgowan_volume,period,bondi_radius
1,1.008,5.575279762570688,2.592,2.2,2.2,0.666793,13.598443,8.71,1,1.2
2,4.002602,11.494040321933852,,,,0.2050522,24.587387,6.75,1,
3,6.94,25.252406587288686,0.67,0.98,0.97,24.33,5.391719,22.23,2,
4,9.012182,15.002474655288227,1.81,1.57,1.47,5.6,9.3227,20.27,2,
5,10.81,29.64778792497513,2.275,2.04,2.01,3.03,8.29802,18.31,2,2.13
6,12.011,20.579526276115534,2.746,2.55,2.5,1.67,11.2603,16.35,2,1.7
7,14.007,15.598531123848922,3.194,3.04,3.07,1.1,14.5341,14.39,2,1.55
8,15.999,14.710226951490485,3.654,3.44,3.5,0.802,13.61805,12.43,2,1.52
9,18.9984032,13.30578842767868,4.0,3.98,4.1,0.557,17.4228,10.47,2,1.47
10,20.1797,15.298567668493963,4.5,,,0.39432,21.56454,8.51,2,
11,22.98976928,48.996626694973415,0.56,0.93,1.01,24.11,5.139076,32.71,3,
12,24.305,21.688370252755973,1.318,1.31,1.23,10.6,7.646235,30.75,3,
13,26.9815386,26.09408533587764,1.714,1.61,1.47,6.8,5.985768,28.79,3,
14,28.085,38.79238608652677,2.138,1.9,1.74,5.53,8.15168,26.83,3,2.1
15,30.973762,24.429024474314232,2.515,2.19,2.06,3.63,10.48669,24.87,3,1.8
16,32.06,24.429024474314232,2.957,2.58,2.44,2.9,10.36001,22.91,3,1.8
17,35.45,22.44929750377706,3.475,3.16,2.83,2.18,12.96763,20.95,3,1.75
18,39.948,27.833136987618392,3.31,,,1.6411,15.75961,18.99,3,
19,39.0983,87.11374629016697,0.445,0.82,0.91,43.06,4.3406633,51.89,4,
20,40.078,51.63266588116713,0.946,1.0,1.04,22.8,6.11316,50.28,4,
21,44.955912,41.62976785149394,1.02,1.36,1.2,17.8,6.56149,48.68,4,
22,47.867,39.349206157239216,1.09,1.54,1.32,14.6,6.82812,47.07,4,
23,50.9415,37.15349259737265,1.39,1.63,1.45,12.4,6.74619,45.47,4,
24,51.9961,36.617633232844945,1.66,1.66,1.56,11.6,6.76651,43.86,4,
25,54.938045,36.086951213010344,2.2,1.55,1.6,9.4,7.43402,42.26,4,
26,55.845,35.56142140512765,2.2,1.83,1.64,8.4,7.9024,40.65,4,
